Date,Company Name,Quater,Price,Open,High,Low,Close,Adj Close,Volume
2024-08-29,Google,Q3,161.7799988,164.3099976,165.9700012,160.25,161.7799988,161.380661,19699800.0
2024-08-30,Google,Q3,163.3800049,162.6199951,163.6600037,161.6900024,163.3800049,162.9767151,22123800.0
2024-09-03,Google,Q3,157.3600006,161.7200012,161.8500061,156.4799957,157.3600006,156.9715576,38945300.0
2024-09-04,Google,Q3,156.4499969,156.6600037,159.0,155.9600067,156.4499969,156.0638123,19353800.0
2024-09-05,Google,Q3,157.2400055,156.3000031,159.4499969,155.9799957,157.2400055,156.8518677,18688700.0
2024-09-06,Google,Q3,150.9199982,157.3000031,157.8300018,150.5500031,150.9199982,150.5474548,37912100.0
2024-09-09,Google,Q3,148.7100067,152.5099945,153.3999939,147.2200012,148.7100067,148.5397644,39260500.0
2024-09-10,Google,Q3,148.6600037,150.4499969,151.2700043,148.3399963,148.6600037,148.4898224,31118800.0
2024-09-11,Google,Q3,151.1600037,149.9199982,151.5,147.5200043,151.1600037,150.9869537,29607700.0
2024-09-12,Google,Q3,154.6900024,153.8000031,154.8200073,152.6499939,154.6900024,154.5129242,29695000.0
2024-09-13,Google,Q3,157.4600067,155.4299927,158.3800049,155.2100067,157.4600067,157.2797546,29591200.0
2024-09-16,Google,Q3,158.0599976,157.3099976,158.25,156.6000061,158.0599976,157.8790588,18379800.0
2024-09-17,Google,Q3,159.3200073,159.0200043,160.5500031,158.3800049,159.3200073,159.137619,20715600.0
2024-09-18,Google,Q3,159.8099976,159.8600006,160.5,158.6000061,159.8099976,159.6270599,23677300.0
2024-09-19,Google,Q3,162.1399994,163.7100067,163.7899933,161.3399963,162.1399994,161.9543915,26587700.0
2024-09-20,Google,Q3,163.5899963,163.5,163.7299957,162.0599976,163.5899963,163.4027252,40896400.0
2024-09-23,Google,Q3,161.8500061,164.3500061,165.4900055,161.6699982,161.8500061,161.6647186,24150900.0
2024-09-24,Google,Q3,162.2899933,163.0299988,163.2200012,160.6900024,162.2899933,162.1042023,23332100.0
2024-09-25,Google,Q3,161.4900055,161.4700012,162.8099976,161.3000031,161.4900055,161.30513,18869200.0
2024-09-26,Google,Q3,162.7299957,163.6399994,164.0800018,162.2799988,162.7299957,162.5437012,20319300.0
2024-09-27,Google,Q3,163.9499969,162.8099976,165.6999969,162.6300049,163.9499969,163.7623138,21101300.0
2024-09-30,Google,Q3,165.8500061,163.3200073,166.1499939,163.2599945,165.8500061,165.660141,20413900.0
2024-10-01,Google,Q4,166.9900055,167.6900024,169.1600037,164.5800018,166.9900055,166.7988434,28338100.0
2024-10-02,Google,Q4,165.8600006,166.4199982,167.5200043,164.7299957,165.8600006,165.6701355,17760200.0
2024-10-03,Google,Q4,165.8600006,164.4100037,166.6399994,163.9199982,165.8600006,165.6701355,15073100.0
2024-10-04,Google,Q4,167.0599976,168.0599976,168.2299957,165.4799957,167.0599976,166.8687592,19047400.0
2024-10-07,Google,Q4,162.9799957,167.7200012,168.4799957,162.75,162.9799957,162.7934265,22463100.0
2024-10-08,Google,Q4,164.3800049,163.9400024,164.7299957,162.8699951,164.3800049,164.1918335,23072700.0
2024-10-09,Google,Q4,161.8600006,163.4499969,164.8399963,159.7400055,161.8600006,161.6747131,31181800.0
2024-10-10,Google,Q4,162.0800018,160.8699951,163.0700073,160.3999939,162.0800018,161.894455,14144100.0
2024-10-11,Google,Q4,163.2400055,162.1300049,163.8999939,161.2400055,163.2400055,163.0531311,15344300.0
2024-10-14,Google,Q4,164.9600067,163.6399994,166.2299957,163.3999939,164.9600067,164.7711639,19016100.0
2024-10-15,Google,Q4,165.4600067,165.7899933,167.6799927,164.6300049,165.4600067,165.2705994,20247200.0
2024-10-16,Google,Q4,165.1600037,164.5299988,165.8000031,163.7400055,165.1600037,164.970932,16406000.0
